,Unnamed: 0_x,doi,fk_idx,cole_idx,date,Unnamed: 0_y,subject,"doi,subject",period,Discipline
8790,12,s41893-020-0546-1,14.4,13.12,2020-05-18 00:00:00+00:00,37,Infectious diseases,,Before,Health sciences
8798,14,s41893-020-0472-2,19.8,58.92,2020-01-13 00:00:00+00:00,45,Analytical chemistry,,Before,Physical sciences
8799,14,s41893-020-0472-2,19.8,58.92,2020-01-13 00:00:00+00:00,46,Chemical engineering,,Before,Physical sciences
8804,15,s41746-020-00340-0,16.7,25.8,2020-10-06 00:00:00+00:00,53,Risk factors,,Before,Health sciences
8806,16,s41928-020-0440-x,20.8,39.84,2020-06-22 00:00:00+00:00,59,Engineering,,Before,Physical sciences
8811,18,s42003-020-01200-z,17.1,28.82,2020-08-28 00:00:00+00:00,66,Multipotent stem cells,,Before,Biological sciences
8816,20,s42004-020-00368-z,18.4,31.82,2020-09-02 00:00:00+00:00,71,Microbiology,,Before,Biological sciences
8818,21,s42003-020-01208-5,15.2,25.91,2020-08-28 00:00:00+00:00,73,Molecular evolution,,Before,Biological sciences
8820,22,s42005-020-00415-0,15.6,27.87,2020-08-28 00:00:00+00:00,75,Theoretical physics,,Before,Physical sciences
8821,23,s42003-020-01210-x,17.3,25.86,2020-08-28 00:00:00+00:00,76,Cardiovascular genetics,,Before,Biological sciences
8824,24,s42003-020-01199-3,15.9,27.95,2020-08-28 00:00:00+00:00,79,Agricultural genetics,,Before,Biological sciences
8832,26,s42003-020-1096-9,15.1,26.38,2020-09-01 00:00:00+00:00,87,Evolutionary genetics,,Before,Biological sciences
8833,26,s42003-020-1096-9,15.1,26.38,2020-09-01 00:00:00+00:00,88,Genome evolution,,Before,Biological sciences
8837,1,s41597-020-00702-z,17.7,26.63,2020-11-26 00:00:00+00:00,1,Plant evolution,,Before,Biological sciences
8838,1,s41597-020-00702-z,17.7,26.63,2020-11-26 00:00:00+00:00,2,Plant sciences,,Before,Biological sciences
8841,3,s41599-020-00603-x,20.0,28.43,2020-10-02 00:00:00+00:00,5,Science,,Before,Physical sciences
8843,4,s41438-020-00375-0,17.0,28.52,2020-10-01 00:00:00+00:00,7,Agricultural genetics,,Before,Biological sciences
8847,5,s41438-020-00389-8,15.8,26.03,2020-10-01 00:00:00+00:00,11,Population genetics,,Before,Biological sciences
8852,7,s41599-020-00599-4,18.1,25.7,2020-09-30 00:00:00+00:00,16,Science,,Before,Physical sciences
8855,8,s41438-020-00387-w,15.2,24.98,2020-10-01 00:00:00+00:00,19,Fungal genetics,,Before,Biological sciences
8857,9,s41599-020-00594-9,17.7,25.29,2020-09-29 00:00:00+00:00,21,Psychology,,Before,Biological sciences
8860,10,s41438-020-00373-2,16.0,24.57,2020-10-01 00:00:00+00:00,24,Plant genetics,,Before,Biological sciences
8864,12,s41438-020-00380-3,16.8,26.85,2020-10-01 00:00:00+00:00,28,Soil microbiology,,Before,Biological sciences
8867,14,s41438-020-00392-z,15.4,24.58,2020-10-01 00:00:00+00:00,31,Evolutionary biology,,Before,Biological sciences
8869,15,s41438-020-00383-0,18.2,29.34,2020-10-01 00:00:00+00:00,33,Metabolic engineering,,Before,Physical sciences
8870,15,s41438-020-00383-0,18.2,29.34,2020-10-01 00:00:00+00:00,34,Molecular engineering in plants,,Before,Physical sciences
8871,16,s41438-020-00376-z,16.8,27.54,2020-10-01 00:00:00+00:00,35,Plant evolution,,Before,Biological sciences
8872,16,s41438-020-00376-z,16.8,27.54,2020-10-01 00:00:00+00:00,36,Population genetics,,Before,Biological sciences
8876,18,s41438-020-00374-1,16.3,25.33,2020-10-01 00:00:00+00:00,40,Plant sciences,,Before,Biological sciences
8877,19,s41438-020-00388-9,15.1,26.55,2020-10-01 00:00:00+00:00,41,Developmental biology,,Before,Biological sciences
8879,20,s41438-020-00379-w,16.0,26.38,2020-10-01 00:00:00+00:00,43,Molecular engineering in plants,,Before,Physical sciences
8882,21,s41438-020-00381-2,16.7,27.77,2020-10-01 00:00:00+00:00,46,Plant physiology,,Before,Biological sciences
8887,22,s41438-020-00386-x,15.6,26.15,2020-10-01 00:00:00+00:00,51,Plant molecular biology,,Before,Biological sciences
8891,23,s41438-020-00377-y,15.1,26.09,2020-10-01 00:00:00+00:00,55,Plant physiology,,Before,Biological sciences
8902,27,s41597-020-00751-4,15.3,26.09,2020-11-24 00:00:00+00:00,66,Ecophysiology,,Before,Biological sciences
8903,27,s41597-020-00751-4,15.3,26.09,2020-11-24 00:00:00+00:00,67,Molecular ecology,,Before,Biological sciences
8905,28,s41439-020-00119-5,15.5,26.32,2020-10-02 00:00:00+00:00,69,Disease genetics,,Before,Biological sciences
8906,28,s41439-020-00119-5,15.5,26.32,2020-10-02 00:00:00+00:00,70,Genetics,,Before,Biological sciences
8910,30,s41599-020-00601-z,19.3,28.71,2020-09-28 00:00:00+00:00,74,Geography,,Before,Scientific community and society
8913,31,s41599-020-00585-w,19.0,24.43,2020-09-23 00:00:00+00:00,77,Science,,Before,Physical sciences
8915,0,s41439-020-0098-y,19.0,28.01,2020-04-16 00:00:00+00:00,0,Disease genetics,,Before,Biological sciences
8916,0,s41439-020-0098-y,19.0,28.01,2020-04-16 00:00:00+00:00,1,Medical genetics,,Before,Biological sciences
8918,1,s41597-020-00618-8,17.6,26.84,2020-08-25 00:00:00+00:00,3,Freshwater ecology,,Before,Biological sciences
8924,4,s41597-020-0465-z,17.4,26.27,2020-04-21 00:00:00+00:00,9,Climate-change ecology,,Before,Biological sciences
8926,4,s41597-020-0465-z,17.4,26.27,2020-04-21 00:00:00+00:00,11,Water resources,,Before,Scientific community and society
8928,5,s41597-020-00610-2,19.1,29.35,2020-08-27 00:00:00+00:00,13,Infectious diseases,,Before,Health sciences
8929,6,s41597-020-0463-1,17.4,30.38,2020-04-29 00:00:00+00:00,14,Genetics,,Before,Biological sciences
8930,6,s41597-020-0463-1,17.4,30.38,2020-04-29 00:00:00+00:00,15,Genetics research,,Before,Biological sciences
8942,15,s41597-020-0452-4,16.8,26.21,2020-03-31 00:00:00+00:00,27,Solid-state chemistry,,Before,Physical sciences
8946,18,s41597-020-0448-0,18.3,29.28,2020-03-24 00:00:00+00:00,31,Risk factors,,Before,Health sciences
8951,21,s41597-020-0443-5,17.2,21.41,2020-03-25 00:00:00+00:00,36,Geophysics,,Before,Physical sciences
